"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Gunakan Pengaturan Konfigurasi untuk Qty Minimal yang Diizinkan di Kantung Belanja"
"Use Config Settings for Notify for Quantity Below","Gunakan Pengaturan Konfigurasi untuk Pemberitahuan untuk Kuantitas Di bawah"
"Use Config Settings for Qty Increments","Gunakan Pengaturan Konfigurasi untuk Tambahan Qty"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Gunakan Pengaturan Konfigurasi untuk Qty untuk Status Item Menjadi Persediaan Habis"
"User Type","Tipe Pengguna"
"User type ""%s"" no longer exists","Tipe pengguna ""%s"" tidak lagi ada"
"User type ""%s"" not found.","Tipe pengguna ""%s"" tidak ditemukan."
"Web Services","Web Services"
"Web services","Web services"
"Write","Ubah/Tulis"
"ZIP/Postal Code","Kode Pos"
